Designator,Mid X,Mid Y,Layer,Rotation
C1,109.6,-100.575,top,90
C2,108.025,-101.1,top,0
C3,108.025,-100,top,0
FB1,108.9,-98.375,top,0
FB2,109.125,-102.75,top,180
J1,105,-100,top,-90
